Player Name,How Out,Fielder,Bowler,Runs,Inns,Opposition,Ground,Date,Description,Balls,Minutes,4s,6s,SR
V Kohli (c),bowled,,NM Coulter-Nile,92,1,Australia,Kolkata,21 Sep 2017," 37.5  and chopped on! Kohli falls for 92. The ball has been seaming back in, Kohli chooses the wrong option of playing a dab down to third man, the ball takes the inside edge and hits the stumps. Maybe his first mistake of the day. Fantastic innings anyway  197/5 ",107,148,8,0,85.98
V Kohli (c),caught,PVD Chameera,MVT Fernando,3,2,Sri Lanka,Pallekele,27 Aug 2017," 5.1  gone! Fernando's got his man. Not the way he must have visualised getting the Indian captain out, but he won't care. It's not exactly a wicket-taking ball, on the pads and asking to be flicked. But Kohli's maybe a touch early on it, and maybe the left-armer's inswing makes him hit it finer than he'd like, and he ends up flicking in the air, to the man stationed at long leg. Chameera's the fielder, and he takes it brilliantly, diving forward as it dips on him  19/2 ",11,0,0,0,27.27
V Kohli (c),not out,,,111,2,West Indies,Kingston,6 Jul 2017,,115,0,12,2,96.52
V Kohli (c),not out,,,82,2,Sri Lanka,Dambulla,20 Aug 2017,,70,0,10,1,117.14
V Kohli (c),bowled,,A Dananjaya,4,2,Sri Lanka,Pallekele,24 Aug 2017," 17.3  Kohli's gone! 4 off 2! Dananjaya spinning a web around these Indian batsmen. What's happening. Yikes. Wow. Another googly, this one is soooo full but Kohli still does not manage to get bat on that. It's full and straight, Kohli takes his pads away from the line of the ball, looking for that trademark whippy cover drive, but all that does it create a massive bat-pad gap and the stumps are disturbed again. SL in raptures.  118/4 ",2,0,1,0,200.00
V Kohli (c),caught,EMDY Munaweera,SL Malinga,131,1,Sri Lanka,Colombo (RPS),31 Aug 2017," 29.3  gone! Malinga has his 300th wicket! Not the greatest delivery he's ever bowled, but he won't mind - he's found a way to break this partnership. A full, wide ball, and Kohli drives in the air, straight to the sweeper on the cover point boundary  225/2 ",96,0,17,2,136.45
V Kohli (c),caught,SD Hope,JO Holder,3,2,West Indies,North Sound,2 Jul 2017," 5.6  for the second match in a row, Holder has dismissed Kohli after troubling him with the short ball. Good bouncer, just outside off, similar to the one that he missed a few balls ago. This time he gets a top-edge that goes straight up, three storeys up, and Shai Hope takes a few steps forward and wraps his gloves around it  25/2 ",12,0,0,0,25.00
V Kohli (c),caught,KA Hope,JO Holder,11,1,West Indies,North Sound,30 Jun 2017," 9.3  oh good catch! Kyle Hope has made amends! Back of a length outside off stump, he's on the front foot early and then he sees this lift up off the pitch. It's chest height and he pokes at it. Thick outside edge that hangs to the left of gully for a moment, before the fielder there, Hope, leaps one-handed to his left and gets rid of Kohli. Holder has his man  34/2 ",22,0,2,0,50.00
V Kohli (c),not out,,,32,1,West Indies,Port of Spain,23 Jun 2017,,47,0,1,0,68.08
V Kohli (c),not out,,,76,2,South Africa,The Oval,11 Jun 2017,,101,136,7,1,75.24
V Kohli (c),not out,,,96,2,Bangladesh,Birmingham,15 Jun 2017,,78,96,13,0,123.07
V Kohli (c),caught,AR Nurse,AS Joseph,87,1,West Indies,Port of Spain,25 Jun 2017," 41.2  holes out to long-on looking for another big six. Slower ball from Joseph, rolls his fingers over the seam and the ball does not come on too well as a result. Tries to launch it and gets the elevation but not the distance. Nurse settles under it comfortably  285/5 ",66,0,4,4,131.81
V Kohli (c),caught,Shadab Khan,Mohammad Amir,5,2,Pakistan,The Oval,18 Jun 2017," 2.4  got him next ball. Amir, you legend! He takes flight. He punches the air like it spoke ill of his family. A fit, even a half fit bowler like him is worth tons for a team. This is back of a length, on off stump, and Kohli, looking to move across and flick into the on side gets a leading edge straight to point. Amir makes him play early. Amir sends him back. Amir puts a smile on Pakistan's face. Amir is making The Oval chant his name  6/2 ",9,11,0,0,55.55
V Kohli (c),caught,JC Buttler,BA Stokes,55,2,England,Kolkata,22 Jan 2017," 19.4  they get him outside off! With just enough nibble, keeping the ball up, tempting Kohli to play on the up, play an expansive shot and the cover drive becomes a thick edge, so much that Buttler has to jump up and take the catch almost above his shoulder. The umpires check the no-ball, Stokes is safe and India lose their captain  102/3 ",63,81,8,0,87.30
V Kohli (c),caught,BA Stokes,CR Woakes,8,1,England,Cuttack,19 Jan 2017," 2.6  Stokes nabs Kohli now. This is a huuuuuge scalp. Second slip dives low to his left and clings onto it with both hands. This is very, very full and wide outside off - a near yorker - Kohli reaches out and jabs his bat down on the ball. Takes the outside edge, Stokes is late to react but pouches it. No feet from Kohli. The Cuttack crowd has been hushed into silence  22/2 ",5,6,2,0,160.00
V Kohli (c),caught,DJ Willey,BA Stokes,122,2,England,Pune,15 Jan 2017," 36.2  oh Kohli for once has failed to finish off a chase. It's that man Stokes again, but is it too late? Kohli has played a modern classic here. Slower short ball, he looks to pull from outside off, and gets a top edge. Kohli knows he has made a mistake and his head falls away right away. Willey takes the catch at cover, and the crowd stands up for a great innings. Kohli acknowledges the crowd's response but he is bitterly disappointed he is not there when the winning runs are hit  263/5 ",105,147,8,5,116.19
V Kohli (c),not out,,,81,1,Pakistan,Birmingham,4 Jun 2017,,68,108,6,3,119.11
V Kohli,caught,MJ Guptill,IS Sodhi,65,1,New Zealand,Visakhapatnam,29 Oct 2016," 43.1  picks out long-off! He was placed wider, keeping in mind Kohli's ability to hit those inside out drives. That is the shot he goes for. Came down the track, took the ball on the half-volley and seemed to have struck it so well. The problem was it was straight at Guptill, who is perhaps New Zealand's best fielder. Kohli is livid as he walks off.  220/5 ",76,152,2,1,85.52
V Kohli (c),caught,N Dickwella,N Pradeep,0,1,Sri Lanka,The Oval,8 Jun 2017," 25.5  he's got him! Pradeep, you beauty, baiting Kohli outside off, and nabbing him easily. The shot is risky, with a slip in, but the batsman goes for the glide to third man anyway. A touch of seam movement away, but more importantly a little extra bounce, undoes him.  139/2 ",5,5,0,0,0.00
V Kohli,caught,BJ Watling,IS Sodhi,45,2,New Zealand,Ranchi,26 Oct 2016," 19.5  and gone. Kohli falls. Short and wide outside off, a terrible delivery. Kohli goes back and gets a thin edge which is well taken by Watling. Not much turn, but there may have been some extra bounce, or Kohli just played for some. Either way, what was turning into another typical Kohli chase has been cut short, almost literally.  98/2 ",51,64,2,1,88.23
V Kohli,not out,,,154,2,New Zealand,Mohali,23 Oct 2016,,134,202,16,1,114.92
V Kohli,not out,,,85,2,New Zealand,Dharamsala,16 Oct 2016,,81,109,9,1,104.93
V Kohli,caught,L Ronchi,MJ Santner,9,2,New Zealand,Delhi,20 Oct 2016," 11.4  gone. Kohli has been strangled down leg. Flat delivery down leg, Kohli flicks but gets just a thin edge which is wonderfully taken by Ronchi well down leg. Kohli has a smile on his face. Knew he hit that. Unfortunate way to go.  40/2 ",13,18,1,0,69.23
V Kohli,caught,MS Wade,JW Hastings,8,2,Australia,Sydney,23 Jan 2016," 20.2  out! Big, big wicket this. Very full and wide from Hastings. Kohli goes for the expansive drive and gets a thin nick through to the keeper. Wade takes it over his head. Australia are a delighted bunch. Huge moment in the game  134/2 ",11,11,1,0,72.72
V Kohli,caught,GJ Bailey,JW Hastings,117,1,Australia,Melbourne,17 Jan 2016," 46.2  Kohli steps out and hits it straight into the lap of extra cover. Hastings rolls his fingers across this slower one outside off, 120ks, Kohli slaps it to Bailey. Looked like a leg-breakish slower one. Kohli, who can't manufacture his own pace, is out for a run-a-ball 117  265/4 ",117,174,7,2,100.00
V Kohli,caught,AJ Finch,JP Faulkner,91,1,Australia,Perth,12 Jan 2016," 44.3  Kohli's hit that hard off the front foot, he's hit that flat, and the ball is headed over the long-on boundary but Finch runs to his left and takes the catch at head height. Kohli falls close to his hundred after an outstanding partnership. He's set India up for a huge total, but can the remaining batsmen hit from the get-go? Kohli timed that really well, just did not hit it high enough  243/2 ",97,148,9,1,93.81
V Kohli,caught,SPD Smith,KW Richardson,106,2,Australia,Canberra,20 Jan 2016," 39.1  Kohli finds the fielder. What is happening here? A nothing delivery from Richardson, fullish on leg. Kohli comes down the track and lobs a catch to mid-off. Just spooned up. Looked like a checked drive. Big big wicket. But, that has been a truly special innings from Kohli.  278/4 ",92,131,11,1,115.21
V Kohli,run out,,,59,1,Australia,Brisbane,15 Jan 2016," 23.5  what has happened there? Some hesitation and Kohli may be gone here. And he is gone. Kohli has to walk off after a fantastic innings. Against the run of play, Australia have a breakthrough. He stayed back to pummel a pull to fine leg. Richardson got around and rocketed a throw back to Wade, on the full, and Wade whipped off the bails. Kohli was found a foot short of his crease despite a dive.  134/2 ",67,84,4,0,88.05
V Kohli,caught,Q de Kock,K Rabada,138,1,South Africa,Chennai,22 Oct 2015," 48.2  that's the end of Kohli, he's caught behind for 138! Shortish ball going down leg and he pulled, got a faint edge and QdK took it easily  291/5 ",140,202,6,5,98.57
V Kohli,run out,,,12,1,South Africa,Indore,14 Oct 2015," 17.6  dropped at mid-off but there's a run out, what a horrible mix up, the two batsmen end up at non-striker's end! Kohli is out and he's absolutely livid! Rahane drove the ball down uppishly and in the air, Behardien leapt in the air and got both hands but it was a tough chance and it went down. The batsmen watch that and take one, then Kohli sprints back for the second while Rahane holds his hand up to say no but Kohli wants the run. Both are at the same end and the bails are taken off by the keeper. Kohli did make it on time and he was running to the danger end so looks like there was a run there  82/3 ",18,24,0,0,66.66
V Kohli,caught,M Morkel,DW Steyn,11,2,South Africa,Kanpur,11 Oct 2015," 39.6  has he been caught at short fine leg? What a take! Steyn bowled a half-volley on the pads, a delivery Kohli should have put away. He flicked the ball uppishly but it was dying on the tall Morne Morkel at short fine leg. Morkel got down low and caught the ball in his fingertips before it hit the ground. Is the tide turning decisively now?  214/3 ",18,29,0,0,61.11
V Kohli,caught,Q de Kock,K Rabada,7,2,South Africa,Mumbai,25 Oct 2015," 7.4  chases the wide one and edges it again! de Kock, take a bow. That is a catch that will be replayed forever. He might well be the best ODI keeper around right now. Rabada goes full, Kohli has to reach for it because he is lead-footed. It was a run-scoring opportunity because it is almost an overpitched delivery. But the extra pace seems to work against the batsman. Big nick, which means it hurtles between slip and the keeper. de Kock flings himself full length to his right and plucks it with one hand  44/2 ",6,11,0,1,116.66
V Kohli,bowled,,Shakib Al Hasan,25,1,Bangladesh,Dhaka,24 Jun 2015," 19.5  tries the big slog sweep, but the slowness of the wily Shakib has done him in. Kohli has not been fluent, but he needs to look at the scoreboard. The team is going at six an over. There is no need to play such expansive shots. He is too early into the slog sweep, and is beaten all ends up. Timbah  114/2 ",35,55,1,0,71.42
V Kohli,lbw,,Nasir Hossain,23,1,Bangladesh,Dhaka,21 Jun 2015," 12.3  lack of turn does Kohli in again. Fatally this time. There is a send-off here. Kohli is not happy. He stands there and looks at the Bangladesh fielders. If not a send-off, at least there is something said to him. First the delivery then. This is an offbresk, short of a length, pitches off, looks easy meat for at least a single to leg. Kohli plays for the turn, the ball not only doesn't turn, it also skids through to stay low. Plumb lbw  74/2 ",27,57,3,1,85.18
V Kohli,caught,DA Miller,M Morkel,77,2,South Africa,Rajkot,18 Oct 2015," 45.1  Morkel wins this moment. What a wicket this is. Is this the defining moment? Short on leg and Kohli can only heave the ball in the air to Miller at deep midwicket who takes a comfortable catch. This line, length and field placement has worked wonders so far. Stalled Kohli throughout the second part of his innings. Take a bow, Russell Domingo and AB de Villiers  216/5 ",99,155,5,0,77.77
